epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.344,0.84787,1.5182,1.46511,0.64681,0.68632,0.72042,0.55597,0.94559,2.53699,1.76626,0.000331169,0.000331169,0.0672143
2,221.225,0.63757,0.81172,1.26601,0.86256,0.97971,0.98668,0.87288,0.52454,0.77139,1.31535,0.000664338,0.000664338,0.0342141
3,308.564,0.55974,0.66593,1.20373,0.98568,0.99608,0.99497,0.89848,0.43757,0.59001,1.12388,0.000996851,0.000996851,0.0012133
4,387.365,0.51244,0.61248,1.15901,0.99565,0.98611,0.99455,0.91919,0.42102,0.38226,1.13076,0.000997781,0.000997781,0.000997781
5,448.703,0.49123,0.56208,1.14639,0.97396,0.97405,0.99399,0.91481,0.4325,0.56455,1.22912,0.000996057,0.000996057,0.000996057
6,513.944,0.45847,0.51643,1.11923,0.92699,0.97132,0.99205,0.89511,0.50393,0.52649,1.22241,0.000993844,0.000993844,0.000993844
7,574.613,0.43764,0.47638,1.10192,0.99815,1,0.995,0.99006,0.20537,0.23518,0.95765,0.000991144,0.000991144,0.000991144
8,635.143,0.41936,0.46637,1.09404,0.99871,0.99978,0.995,0.99428,0.18581,0.19995,0.95393,0.000987959,0.000987959,0.000987959
9,695.839,0.40061,0.4336,1.07863,0.99788,0.98463,0.995,0.95511,0.29997,0.34547,1.01906,0.000984292,0.000984292,0.000984292
10,755.995,0.40043,0.42906,1.07992,0.97972,0.98682,0.99493,0.96543,0.31477,0.29826,0.99754,0.000980147,0.000980147,0.000980147
11,816.176,0.38034,0.40733,1.05817,0.96164,0.96633,0.98914,0.97154,0.27698,0.36751,0.99934,0.000975529,0.000975529,0.000975529
12,876.481,0.38307,0.4253,1.06475,0.99706,1,0.995,0.95254,0.32815,0.26131,1.00133,0.000970441,0.000970441,0.000970441
13,936.652,0.36939,0.39961,1.0529,0.99639,1,0.995,0.97458,0.30516,0.23928,1.0165,0.000964889,0.000964889,0.000964889
14,996.752,0.3574,0.3735,1.04275,0.99854,0.99919,0.995,0.99429,0.18982,0.20489,0.96395,0.000958878,0.000958878,0.000958878
15,1057.08,0.35294,0.38556,1.04423,0.99942,1,0.995,0.99469,0.18419,0.15182,0.96595,0.000952414,0.000952414,0.000952414
